Country_Name,Country_Code,Quarter,Goods Balance,Services Balance,Primary Income,Secondary Income,Current Account,Capital Account,Direct Investment,Portfolio Investment,Financial Derivatives,Other Investment,Financial Account,Net Errors & Omissions,Net lending/borrowing,Reserve Assets
Argentina,ARG,2009Q2,6799.439,-350.034319718339,-2419.55557299339,267.975981005273,4297.82508829355,0.6,-581.000710879901,-29.5965457104192,3.1,4379.98261577663,3073.7653591863,-1224.65972910724,4298.42508829355,-698.657313538936
Argentina,ARG,2009Q3,3764.488,-722.801637866831,-2528.81222180185,191.847756565787,704.721896897103,54.7167318916649,-330.661602219941,817.147247557825,20.4,-1761.26173509422,556.713910243671,-202.724718545097,759.4386287887679,1799.157807222248
Argentina,ARG,2009Q4,4082.223,-288.387188378718,-2997.82456274477,264.865895501645,1060.87714437816,2.5991993196065,-1064.57443352826,539.1976282873,1225.7,1351.67322845762,2018.71642321666,955.240079518903,1063.4763436977664,-33.71131294578416
Argentina,ARG,2010Q1,2520.98035765,-570.607920341858,-3722.87549982267,139.983225437539,-1632.51983707698,17.275787489199,-3159.37029089772,-211.473092031758,23.4,1989.64892810145,-1661.39445482803,-46.1504052402456,-1615.2440495877809,-303.5438154008661
Argentina,ARG,2010Q2,5936.73909555,-564.182635874758,-3486.39476710186,215.221778620453,2101.38347119383,3.9,-1898.73739831721,-1082.57856257289,84.0250020335049,1730.36931165298,937.488352796391,-1167.79511839744,2105.28347119383,2104.352029109629
Argentina,ARG,2010Q3,3532.1404606,-533.911338392294,-3649.64685277466,122.182175200082,-529.235555366864,54.735,-2906.16744392378,-309.074953912127,-798.7,1918.55933168632,-816.583066149596,-342.082510782732,-474.500555366864,1278.508415084218
Argentina,ARG,2010Q4,2157.24938469,-134.886755302784,-3688.61608423777,103.629504849887,-1562.62395000067,2.56709724756904,-2403.68281290395,-1659.06700790035,-20.9829688881965,744.378670448889,-2261.61411924361,-701.557266490502,-1560.0568527531009,1077.416068686156
Argentina,ARG,2011Q1,2082.90228318,-851.719894852195,-3497.99128291491,24.6811318160188,-2242.12776277108,16.4506,-3213.7545610247,-695.364109016023,35.9009022059723,3156.39800461612,-1876.30976321863,349.367399552442,-2225.67716277108,-1159.778175291082
Argentina,ARG,2011Q2,4899.55232564,-781.815399596358,-3766.26911820558,157.520410844401,508.988218682458,1.15,-631.506566316237,-84.9487582620553,161.256137739978,497.614018520785,168.134831682473,-342.003386999985,510.138218682458,225.1857823054806
Argentina,ARG,2011Q3,2809.74301034,-882.780148191648,-3654.53858075814,211.465858153944,-1516.10986045585,44.622,-1390.31127575062,-142.721866306438,32.9471578232777,1176.56133629322,-3477.04464794056,-2005.55678748471,-1471.4878604558498,-3152.686016418046
Argentina,ARG,2011Q4,2558.73346763,-636.172594436263,-4154.26811797249,140.775456928025,-2090.93178785073,0.501246223564955,-4116.35854158994,779.800577308176,2126.07720252451,3164.11736601145,-66.983395745804,2023.44714588136,-2090.430541627165,-2019.556444648472
Argentina,ARG,2012Q1,3047.27200551,-1223.25851960607,-3756.49834392929,150.015475298524,-1782.46938272684,0.850000000000001,-4153.61051060202,-1906.2137926231,9.051,3376.18482908301,-2004.78847414211,-223.169091415274,-1781.61938272684,670.0136002884911
Argentina,ARG,2012Q2,4601.25109001001,-1028.77341972023,-3271.46285802489,197.893560870929,498.908373135819,22.1902995688196,-3611.94776919585,425.710582591144,0.588,4143.35303912095,258.873852516243,-262.224820188395,521.0986727046386,-698.7562428498416
Argentina,ARG,2012Q3,4244.94298829001,-1016.30230748321,-3329.34441346649,167.061149372726,66.3574167130282,28.495,-3106.11956191147,1401.36105002109,26.028,2885.7750357337,-519.445476156688,-614.297892869716,94.8524167130282,-1726.209381977566
Argentina,ARG,2012Q4,3147.44670273,-828.890477162337,-3396.53501163234,157.142018509711,-920.836767554967,-3.651255,-3397.40649705844,229.060485583066,2872.51446603051,1322.25602944924,-522.775515995634,401.712506559333,-924.488022554967,-1549.170991035846
Argentina,ARG,2013Q1,1011.61183509001,-1730.27634765586,-3342.83109247128,175.669419577824,-3885.82618545931,1.01575621843786,-1941.4933847272,-278.484283305519,-12.2392769807118,148.011979018129,-4667.6349659953,-782.824536754432,-3884.8104292408725,-2577.215325380994
Argentina,ARG,2013Q2,3779.55849298993,-1276.94532892786,-3280.78099706065,452.422154768643,-325.745678229941,0.2678375,-2920.37691265045,945.257380361018,-14.421741732564,3965.78139239895,-734.449881623045,-408.972040893104,-325.477840729941,-2716.79287291194
Argentina,ARG,2013Q3,1363.03014046997,-1353.91551537186,-3262.52187486657,231.30265286095,-3022.10459690751,32.6452675,-2512.58124788678,189.688974942494,1.57355806904797,667.639828800013,-4238.57888607523,-1249.11955666772,-2989.45932940751,-2584.945787849927
Argentina,ARG,2013Q4,-1518.96522763998,-967.778923383182,-3278.69361044534,-125.259563798033,-5890.69732526653,-0.5159875,-1557.23745416722,-1289.04799229205,-7.28921089979385,274.081899799387,-6524.23275755968,-633.019444793153,-5891.21331276653,-3944.924366980937
